;beneficiaire_action_menee;action_representation_interet_id;action_menee_en_propre
0;FEDERATION DU SERVICE AUX PARTICULIERS F.E.S.P.;0;1
1;ASS INNOVAT SCIENCES ANALYSES;1;1
2;SOS MEDECINS FRANCE;2;1
3;SOS MEDECINS FRANCE;3;1
4;PARIS ANIMAUX ZOOPOLIS;4;1
5;PARIS ANIMAUX ZOOPOLIS;5;1
6;PARIS ANIMAUX ZOOPOLIS;6;1
7;PARIS ANIMAUX ZOOPOLIS;7;1
8;PARIS ANIMAUX ZOOPOLIS;8;1
9;PARIS ANIMAUX ZOOPOLIS;9;1
10;PARIS ANIMAUX ZOOPOLIS;10;1
11;GROUPEMENT NAT CARROSSIERS REPARATEURS;11;1
12;UNION DES REPARATEURS AUTOMOBILES DE LA GUADELOUPE;12;0
13;EUROPAUTO SOC EXPL GARAGE HEYRITZ;12;0
14;GARAGE ANTHONY;12;0
15;SARL GARAGE OBERLE;12;0
16;CARROSSERIE KNORR;12;0
17;SARL GARAGE KLEIN FRERES;12;0
18;OUEST AUTOMOBILE;12;0
19;GARAGE SOHM;12;0
20;GARAGE BADINA;12;0
21;SARL TRITZ PIERRE;12;0
22;CARROSSERIE MATTHAEY;12;0
23;CARROSSERIE MULLER - WACHENHEIM;12;0
24;GARAGE TRITZ JEAN-PIERRE ET FILS;12;0
25;GRUBER AUTOMOBILE;12;0
26;GARAGE MEICHEL;12;0
27;BAUER ALFRED GEORGES;12;0
28;GARAGE SUSS;12;0
29;SOC.EXPL.DU GARAGE MALDONADO;12;0
30;GARAGE LAAS;12;0
31;CARROSSERIE THOMANN;12;0
32;ESPACE AUTOMOBILES SAUSHEIM;12;0
33;FREY FREDERIC;12;0
34;CARROSSERIE BITSCHENE;12;0
35;GARAGE AU VIEIL ARMAND;12;0
36;VERGEAU PHILIPPE LAURENT;12;0
37;CARROSSERIE LAIN;12;0
38;GAVIN SERGE HENRI;12;0
39;CARROSSERIE GUICHARD;12;0
40;CARROSSERIE BELNARD;12;0
41;CARROSSERIE PEINTURE MOREAU;12;0
42;CARROSSERIE LEBEAU;12;0
43;CARROSSERIE FAVREAU;12;0
44;AUDIGIE ESPACE AUTO;12;0
45;CARROSSERIE BEURRIER SARL;12;0
46;THIBAUDEAU CARROSSERIE;12;0
47;LANDRAUD LAURENT;12;0
48;CHENIN THIERRY;12;0
49;COSTARD MICKAEL;12;0
50;LANDRAUD DANIEL ET MICHEL SARL;12;0
51;SARL FAVIER;12;0
52;CARROSSERIE DE LA GARE GRENIER ET FILS;12;0
53;CARROSSERIE PUJOL ET FILS;12;0
54;ROUGIER YOANN;12;0
55;CARROSSERIE PAUTARD ET FILS;12;0
56;FAUGEDIS;12;0
57;CARROSSERIE AUTOMOBILE COOPERATIVE;12;0
58;CARROSSERIE MARC DUMAS;12;0
59;CARROSSERIE GARON;12;0
60;CARROSSERIE SAINT LAURENTAISE;12;0
61;EURL DUMARTIN;12;0
62;VASCOES;12;0
63;CARROSSERIE BOUFFET;12;0
64;CARROSSERIE D FRANCISCO;12;0
65;CARROSSERIE KACI;12;0
66;ABBERIS;12;0
67;CARROSSERIE VINCENDEAU;12;0
68;SARL XAVIER ALEXANDRE;12;0
69;ACCI-AUTO CARROSSERIE;12;0
70;CARROSSERIE CLAVERES;12;0
71;BECHEMIN JEAN PHILIPPE;12;0
72;CARROSSERIE DEBEST;12;0
73;SARL JEAN-PAUL VIAUD;12;0
74;GARAGE DARROMAN;12;0
75;CARROSSERIE HERRAN;12;0
76;PREMIUM CARROSSERIE;12;0
77;CARROSSERIE PELISSOU;12;0
78;CARROSSERIE JEAN SAYO SARL;12;0
79;CARROSSERIE HABEN SARL;12;0
80;CARROSSERIE TRAISSAC;12;0
81;DEBOSS'CAR;12;0
82;GARRAN AUTOS;12;0
83;CARROSSERIE BEGLAISE SARL;12;0
84;JLR INVESTISSEMENTS;12;0
85;CARROSSERIE MARTEL - DA COSTA;12;0
86;CARROSSERIE DES TABERNOTTES;12;0
87;DUREAU JEAN CHRISTOPHE;12;0
88;RABEL AUTOS;12;0
89;NARDOU PATRICK CHARLES;12;0
90;DIAZ MAROTTO STEPHANE;12;0
91;CARROSSERIE PITAUD SARL;12;0
92;CARROSSERIE LEYSSALLE FILS;12;0
93;SMB CAR;12;0
94;IZON AUTO MOTO;12;0
95;SARL CARROSSERIE BOUCHON ET FILS;12;0
96;SAS CARROSSERIE DE BRUGES CENTRE;12;0
97;ARCAS AUTOMOBILES;12;0
98;ALTON STEPHANE;12;0
99;VIGNAU;12;0
100;CARROSSERIE ENZO;12;0
101;CARROSSERIE CARROS;12;0
102;GARAGE ARDURATS;12;0
103;FRANCK HEUVELMANS;12;0
104;BUTON;12;0
105;ETS DOMINIQUE LABAT SARL;12;0
106;CARROSSERIE WALCKER;12;0
107;CARROSSERIE SUIRE SARL;12;0
108;SOCIETE D'EXPLOITATION DES ETABLISSSEMENTS NUSSBAUM;12;0
109;GARAGE DE LA GARE;12;0
110;ROADSTER;12;0
111;CARROSSERIE DACQUOISE;12;0
112;S.E.DES ETS GAITTE;12;0
113;LE JUGE PATRICE CYRILLE;12;0
114;SARL CARROSSERIE RONDEAU GARCIA VIDAL;12;0
115;SA CARROSSERIE LABARDIN;12;0
116;CARROSSERIE DES SABLES;12;0
117;ORSETTIG JEAN MARC;12;0
118;CARROSSERIE CHALADA SARL;12;0
119;CARROSSERIE MUNCH;12;0
120;CARROSSERIE LAZEROVIEZ;12;0
121;SARL PLANES;12;0
122;PETRACCO ET FILS;12;0
123;CEREA DAVID;12;0
124;CARROSSERIE DE GASCOGNE;12;0
125;SOC EXPL CARROSSERIE BURG;12;0
126;CARROSSERIE GERARD BONNAT;12;0
127;SARL CARROSSERIE BOURG;12;0
128;CARROSSERIE RODRIGUES;12;0
129;CARROSSERIE DUFOUR;12;0
130;BORDENAVE ALAIN BERNARD;12;0
131;EURL CARROSSERIE RIBEIRO;12;0
132;ETCHEBERRY DOMINGUES MARGUERITE;12;0
133;CARROSSERIE JEAN-MARC LISSAGUE;12;0
134;ETABLISSEMENTS PORTET;12;0
135;SARL LARRE ET FILS;12;0
136;ABC DESIGN;12;0
137;CARROSSERIE ARTEAGA;12;0
138;SARL D'EXPL.CARROSSERIE GARRAIN;12;0
139;SARL DUMONT AUTOMOBILES;12;0
140;GARAGE ENDARA FRERES;12;0
141;CARROSSERIE MICHEL ET FILS;12;0
142;ETS LANASPA ET AFONSO;12;0
143;CENTRE AUTO BELLE MARION;12;0
144;CARROSSERIE BARCELONA;12;0
145;SARL SEPE;12;0
146;SARL CARROSSERIE GILLIER;12;0
147;CACHET GIRAUD CARROSSERIE;12;0
148;EURL CARROSSERIE BONNIN;12;0
149;M. MONNET;12;0
150;ATELIER MECANIQUE CARROSSERIE PEINTURE;12;0
151;CARROSERIE JEROME GERAND;12;0
152;NUNES MANUEL;12;0
153;CARROSSERIE DU VAL DE SEVRE;12;0
154;SARL CAILLAUD ET FILS;12;0
155;TOLERIE PEINTURE MAULEONNAISE;12;0
156;CARROSSERIE CHEVOLEAU;12;0
157;CARROSSERIE ARTISANALE BRETTO BRUNET;12;0
158;PAGNOUX PRO CARROSSERIE;12;0
159;AUTO RELAIS GATINEAU;12;0
160;CARROSSERIE LACROIX;12;0
161;CARROSSERIE LUSSACOISE;12;0
162;SA CARROSSERIE DU VAL DE L'AURENCE;12;0
163;ROSSET PIERRE FRANCOIS;12;0
164;CARROSSERIE GRESSET SARL;12;0
165;GARAGE GUENOT P.;12;0
166;GARAGE WOLF;12;0
167;GP DEBOSSELAGE;12;0
168;CURE MANUEL;12;0
169;HAINAUD SPORTS;12;0
170;PRZYBYCIEN DENIS JEAN;12;0
171;TWINER;12;0
172;REMI CUVILLIEZ;12;0
173;CARROSSERIE BOURGES;12;0
174;LA CARROSSERIE GUINGAMPAISE;12;0
175;LANNION CARROSSERIE;12;0
176;CARROSSERIE RAULT;12;0
177;LES 2 G;12;0
178;MANE ENTREPRISE LIMITED;12;0
179;RONCERAY;12;0
180;CENTRE AUTO RENOVATION;12;0
181;CARROSSERIE LANDRAS-BELLAY;12;0
182;CARROSSERIE RUFFLE;12;0
183;RICHARD SAS;12;0
184;CARROSSERIE ESTHETIC AUTO;12;0
185;SERCA;12;0
186;AUTO SATISFACTION;12;0
187;ALLORY ANTHONY;12;0
188;GARAGE CHEREAU FRERES;12;0
189;P H S;12;0
190;CARROSSERIE NANTOU;12;0
191;CARROSSERIE LUDOVIC JOUSSET;12;0
192;LARCHER;12;0
193;KARL ASSELOT SARL;12;0
194;ETABLISSEMENTS DEBOISLOREY;12;0
195;CARROSSERIE LOQUET;12;0
196;CARROSSERIE ROBELET;12;0
197;CARROSSERIE PATRICE BARADA;12;0
198;PATTIER PASCAL;12;0
199;CARROSSERIE JOUANNIC;12;0
200;SN CARROSSERIE 56;12;0
201;CARROSSERIE DU SCORFF L.D.;12;0
202;SE CARROSSERIE AUTOMOBILE KERBELLEC A;12;0
203;SARL JEGAT;12;0
204;KARLAGATHE;12;0
205;CARROSSERIE LE CORRE;12;0
206;GARAGE LE GLEUT;12;0
207;SARL CARROSSERIE EVANNO;12;0
208;CARROSSERIE ROYER;12;0
209;CARROSSERIE DE KERTHOMAS;12;0
210;CARROSSERIE LE BLEVENEC;12;0
211;CARROSSERIE MODERNE;12;0
212;B.C  AUTOMOBILES;12;0
213;DESCADEILLAS PIERRICK ANDRE MARIE;12;0
